patch_id,r,c,x,y,canopy_frac,temp_mean,y_prob,pred_stress,is_canopy,pred_display,stress_level,pred_level,threshold,mode
grid_0_0,0,0,0,0,0.82659912109375,,0.1248241439461708,0,True,0,normal,0,0.3,rgb_only
grid_0_1,0,1,128,0,0.832763671875,,0.08627332001924515,0,True,0,normal,0,0.3,rgb_only
grid_0_2,0,2,256,0,0.82464599609375,,0.07080153375864029,0,True,0,normal,0,0.3,rgb_only
grid_0_3,0,3,384,0,0.7977294921875,,0.04330739378929138,0,True,0,normal,0,0.3,rgb_only
grid_0_4,0,4,512,0,0.7850341796875,,0.2295733392238617,0,True,0,normal,0,0.3,rgb_only
grid_1_0,1,0,0,128,0.78924560546875,,0.07253678143024445,0,True,0,normal,0,0.3,rgb_only
grid_1_1,1,1,128,128,0.73992919921875,,0.1583249717950821,0,True,0,normal,0,0.3,rgb_only
grid_1_2,1,2,256,128,0.74224853515625,,0.08816517889499664,0,True,0,normal,0,0.3,rgb_only
grid_1_3,1,3,384,128,0.7388916015625,,0.09652113914489746,0,True,0,normal,0,0.3,rgb_only
grid_1_4,1,4,512,128,0.7265625,,0.042152997106313705,0,True,0,normal,0,0.3,rgb_only
grid_2_0,2,0,0,256,0.7330322265625,,0.2175222635269165,0,True,0,normal,0,0.3,rgb_only
grid_2_1,2,1,128,256,0.69696044921875,,0.03425782546401024,0,True,0,normal,0,0.3,rgb_only
grid_2_2,2,2,256,256,0.6429443359375,,0.23323649168014526,0,True,0,normal,0,0.3,rgb_only
grid_2_3,2,3,384,256,0.6383056640625,,0.27977973222732544,0,True,0,normal,0,0.3,rgb_only
grid_2_4,2,4,512,256,0.671142578125,,0.14486593008041382,0,True,0,normal,0,0.3,rgb_only
grid_3_0,3,0,0,384,0.7628173828125,,0.17750661075115204,0,True,0,normal,0,0.3,rgb_only
grid_3_1,3,1,128,384,0.69268798828125,,0.051203642040491104,0,True,0,normal,0,0.3,rgb_only
grid_3_2,3,2,256,384,0.6566162109375,,0.3990664482116699,1,True,1,low,1,0.3,rgb_only
grid_3_3,3,3,384,384,0.66180419921875,,0.14958849549293518,0,True,0,normal,0,0.3,rgb_only
grid_3_4,3,4,512,384,0.6278076171875,,0.22491955757141113,0,True,0,normal,0,0.3,rgb_only
