patch_id,r,c,x,y,canopy_frac,temp_mean,y_prob,pred_stress,is_canopy,pred_display,stress_level,pred_level,threshold,mode
grid_0_0,0,0,0,0,0.82659912109375,,0.05192551016807556,0,True,0,normal,0,0.3,rgb_only
grid_0_1,0,1,128,0,0.832763671875,,0.028652610257267952,0,True,0,normal,0,0.3,rgb_only
grid_0_2,0,2,256,0,0.82464599609375,,0.0626087412238121,0,True,0,normal,0,0.3,rgb_only
grid_0_3,0,3,384,0,0.7977294921875,,0.08122938871383667,0,True,0,normal,0,0.3,rgb_only
grid_0_4,0,4,512,0,0.7850341796875,,0.05824895575642586,0,True,0,normal,0,0.3,rgb_only
grid_1_0,1,0,0,128,0.78924560546875,,0.08220338076353073,0,True,0,normal,0,0.3,rgb_only
grid_1_1,1,1,128,128,0.73992919921875,,0.03495769947767258,0,True,0,normal,0,0.3,rgb_only
grid_1_2,1,2,256,128,0.74224853515625,,0.01446931716054678,0,True,0,normal,0,0.3,rgb_only
grid_1_3,1,3,384,128,0.7388916015625,,0.009759481996297836,0,True,0,normal,0,0.3,rgb_only
grid_1_4,1,4,512,128,0.7265625,,0.052290044724941254,0,True,0,normal,0,0.3,rgb_only
grid_2_0,2,0,0,256,0.7330322265625,,0.056819915771484375,0,True,0,normal,0,0.3,rgb_only
grid_2_1,2,1,128,256,0.69696044921875,,0.036389369517564774,0,True,0,normal,0,0.3,rgb_only
grid_2_2,2,2,256,256,0.6429443359375,,0.046880826354026794,0,True,0,normal,0,0.3,rgb_only
grid_2_3,2,3,384,256,0.6383056640625,,0.01778225600719452,0,True,0,normal,0,0.3,rgb_only
grid_2_4,2,4,512,256,0.671142578125,,0.0430837981402874,0,True,0,normal,0,0.3,rgb_only
grid_3_0,3,0,0,384,0.7628173828125,,0.21880200505256653,0,True,0,normal,0,0.3,rgb_only
grid_3_1,3,1,128,384,0.69268798828125,,0.12679435312747955,0,True,0,normal,0,0.3,rgb_only
grid_3_2,3,2,256,384,0.6566162109375,,0.06515969336032867,0,True,0,normal,0,0.3,rgb_only
grid_3_3,3,3,384,384,0.66180419921875,,0.1013002023100853,0,True,0,normal,0,0.3,rgb_only
grid_3_4,3,4,512,384,0.6278076171875,,0.09401912987232208,0,True,0,normal,0,0.3,rgb_only
